name,is_potentially_hazardous_asteroid,estimated_diameter.kilometers.estimated_diameter_min,estimated_diameter.kilometers.estimated_diameter_max,orbital_data.semi_major_axis,orbital_data.eccentricity,orbital_data.inclination,orbital_data.orbital_period,orbital_data.orbit_class.orbit_class_type,miss_distance_km,velocity_kph
(2026 AL5),False,0.0953575264,0.2132259111,1.467535421809508,.2132835102589938,2.092892512815899,649.353694428316,AMO,12896330.501765724,20918.484403992
(2026 AM5),False,0.0201258845,0.0450028459,1.355955655439115,.2059911408513213,21.69928611042895,576.7221838721792,AMO,14268227.91133631,42077.2634949726
(2026 AO5),False,0.0143600177,0.0321099758,2.376501888393387,.5821629719023267,1.159290035311758,1338.152693082236,APO,8320560.331162209,32695.9753767984
(2026 BA),False,0.0168560176,0.0376912012,1.107475799444775,.1695643132125821,11.36512367196154,425.6962202183562,APO,26830163.999706753,23205.6059087954
(2026 BB),False,0.002971358,0.0066441584,.8784713117274933,.2637432627294595,3.898876012150578,300.7390349740289,ATE,22726657.519812223,44308.5432902604
(2026 BC),False,0.0142677331,0.0319036211,2.681788138191946,.6406824846018379,5.980231037047234,1604.113615795199,APO,8614357.607626455,39942.4199108548
(2025 YU15),False,0.0973094407,0.2175905244,2.026005828965856,.5461164439595083,4.469556418204365,1053.317895250784,APO,13943990.475244252,59723.2525203187
(2026 AP5),False,0.0074123339,0.0165744826,1.90020416712228,.463088248269759,9.075701031929151,956.7507825324402,AMO,5876580.407685393,26887.8618582547
(2026 AQ5),False,0.0386149055,0.0863455537,1.112807541048661,.08711670513578657,31.49400355028139,428.7740732450513,APO,16021151.858746033,58368.2587958866
(2026 AT6),True,0.2703678059,0.6045607929,1.686155618208106,.3805556781550132,17.25693800686476,799.732798807663,AMO,7481891.364594063,38005.1650396238
(2026 AU6),False,0.043048198,0.096258697,2.736344886030695,.5749485086582993,2.632637685111153,1653.311469748315,AMO,,
(2026 AV6),False,0.0566441386,0.1266601444,1.481524505372747,.3188754542929104,9.104824502732459,658.6606007863961,APO,21854101.494133808,18032.3704795725
(2026 BD),False,0.010321789,0.0230802218,1.207601578687115,.2030537733190551,29.82148141004611,484.7121823149454,APO,14598838.097012073,62290.276721244
